"","state","cattle.farms_state","cattle.farms_accounted","cattle.count_state","cattle.count_accounted","hog.farm_state","hog.farm_accounted","hog.count_state","hog.count_accounted","layer.farm_state","layer.farm_accounted","layer.count_state","layer.count_accounted","broiler.farm_state","broiler.farm_accounted","broiler.count_state","broiler.count_accounted","sheep.farm_state","sheep.farm_accounted","sheep.count_state","sheep.count_accounted"
"1","Alabama",18284,18284,1214015,1214015,924,924,-47,13311,4164,4164,7588334,6220876,2140,2140,1183808730,1177187461,1008,1008,33317,32077
"2","Arizona",5864,5864,997842,863070,541,541,-47,3426,2147,2147,-47,32681,43,43,14754,832,7047,7047,147195,140346
"3","Arkansas",20924,20924,1588074,1588074,1053,1053,145376,106884,4525,4525,14421929,13025671,1924,1924,1045855386,1041334400,1140,1140,32485,31768
"4","California",11759,11759,5239070,5238178,1374,1374,82010,32825,6310,6310,13454544,10060125,460,460,313662311,153075843,3096,3096,532849,455459
"5","Colorado",12030,12030,2658012,2657950,1224,1224,515878,10692,6236,6236,1726744,563894,321,321,757594,27868,1480,1480,362574,339161
"6","Connecticut",876,876,45837,45837,218,218,3701,3701,1209,1209,-47,38283,149,149,223640,223640,332,332,4083,4083
"7","Delaware",230,230,10093,10093,46,46,2935,2935,197,197,-47,4422,588,588,242072919,242072919,74,74,1288,1288
"8","Florida",17435,17435,1574057,1567071,1486,1486,14482,12737,6197,6197,7096782,3041687,415,415,64995839,62063465,1358,1358,24329,24285
"9","Georgia",13708,13708,1000560,1000250,1053,1053,41671,8835,4682,4682,22129571,15901097,2018,2018,1300052315,1272707471,999,999,26839,23790
"10","Idaho",8956,8956,2517987,2517987,562,562,21157,7209,3514,3514,638424,82562,155,155,11815,10553,1208,1208,230681,177765
"11","Illinois",13017,13017,962040,960314,1678,1678,5204135,4775926,4496,4496,7278610,690534,548,548,1121454,485451,1612,1612,50943,49322
"12","Indiana",13984,13984,770048,742945,2150,2150,4372121,3991223,6009,6009,35924482,13701322,715,715,51943087,48381023,2456,2456,79185,77706
"13","Iowa",21750,21750,3517805,3517805,5253,5253,23808603,23717204,5352,5352,43137355,8088867,693,693,16718903,8311504,2482,2482,156013,154034
"14","Kansas",22467,22467,6126402,6126402,907,907,1907011,708965,4371,4371,2025646,253960,252,252,33822,19130,1281,1281,94511,74453
"15","Kentucky",31060,31060,1876383,1876383,1564,1564,454797,193568,8586,8586,5542366,4108839,796,796,262581637,255294490,2744,2744,72199,71961
"16","Louisiana",11150,11150,730491,730491,673,673,5124,4887,3187,3187,3336175,3010668,310,310,135838909,130424324,794,794,14200,13345
"17","Maine",1496,1496,72275,72275,418,418,5016,5016,1619,1619,543946,64537,264,264,351860,159882,530,530,11510,11510
"18","Maryland",2926,2926,152394,152394,550,550,20219,12222,2292,2292,2459130,127649,682,682,277949940,277861325,813,813,18912,18812
"19","Massachusetts",1066,1066,33093,33093,306,306,7271,7271,1611,1611,182630,182630,180,180,177113,174509,631,631,12280,12280
"20","Michigan",10141,10141,1116557,1116557,2099,2099,1262145,1169192,7699,7699,17234017,6821269,1332,1332,12609876,11693725,2362,2362,84596,81633
"21","Minnesota",16823,16823,2121625,2121625,2928,2928,8873776,8844498,6146,6146,14553497,12332173,1028,1028,41793592,40709008,2137,2137,109592,107479
"22","Mississippi",13631,13631,832542,832255,709,709,177541,140250,3003,3003,4673149,2884498,1057,1057,668652465,664000221,676,676,18884,18715
"23","Missouri",43543,43543,4004872,4003475,2244,2244,3290751,3119979,9421,9421,11474121,5094665,966,966,316092128,313700282,2837,2837,120895,120634
"24","Montana",9533,9533,2118284,2118284,347,347,230387,166810,2407,2407,1235100,909058,91,91,133389,64507,1118,1118,197784,179882
"25","Nebraska",16958,16958,6390191,6390191,942,942,3606923,2651214,2782,2782,7161783,808853,200,200,90851080,66754008,953,953,58026,53822
"26","Nevada",1382,1382,438511,438511,68,68,-47,255,539,539,15363,15273,14,14,2366,44,281,281,71699,58275
"27","New_Hampshire",789,789,29647,29647,219,219,-47,3312,1109,1109,238651,48841,147,147,115753,30627,506,506,8754,8754
"28","New_Jersey",1040,1040,25552,25552,332,332,7276,6191,2296,2296,1388403,140410,147,147,311102,22567,841,841,14085,14041
"29","New_Mexico",8562,8562,1330860,1326255,363,363,1747,1714,2665,2665,91564,53632,77,77,3955,1765,2949,2949,92005,91988
"30","New_York",9993,9993,1380585,1380551,1352,1352,42889,41642,5693,5693,6388603,1034923,703,703,1538860,340566,1627,1627,72574,72283
"31","North_Carolina",14980,14980,718743,718631,2492,2492,8191751,7927842,5772,5772,14535543,8989156,2058,2058,972408186,966870058,1536,1536,36578,36125
"32","North_Dakota",7175,7175,1699272,1699272,177,177,161489,110096,850,850,80263,17289,82,82,22391,4767,482,482,59910,47969
"33","Ohio",21126,21126,1212468,1212468,3238,3238,2752063,2671452,10695,10695,38570322,20527098,1510,1510,123982907,118474114,4133,4133,145381,145251
"34","Oklahoma",43223,43223,4512794,4512794,2219,2219,2157879,625165,10258,10258,3407879,2819289,670,670,220548594,216023617,1976,1976,76524,75321
"35","Oregon",11699,11699,1200296,1200296,1065,1065,9813,9577,7449,7449,3225396,146908,629,629,18594126,14862240,2709,2709,152512,146669
"36","Pennsylvania",18472,18472,1335451,1335187,2525,2525,1342066,1322156,8810,8810,26859709,25796701,1493,1493,229556622,228022300,3067,3067,102055,100604
"37","Rhode_Island",185,185,3871,3871,55,55,1213,830,257,257,44574,44574,34,34,86722,0,99,99,1196,1196
"38","South_Carolina",6461,6461,305414,305414,923,923,153888,121173,3584,3584,6376328,3918742,645,645,236547011,231073437,694,694,12559,12407
"39","South_Dakota",11304,11304,3478908,3478908,548,548,2039066,1714416,1694,1694,1026877,48519,125,125,77046,23857,1233,1233,231246,222070
"40","Tennessee",29742,29742,1636047,1629881,1643,1643,281105,258773,8886,8886,2520707,2208596,664,664,189393169,179700243,2083,2083,54827,54679
"41","Texas",131815,131815,12543300,12543300,5837,5837,1188820,145359,30288,30288,24478507,13910095,2086,2086,709585824,694662383,12344,12344,612917,607443
"42","Utah",7252,7252,726000,726000,626,626,499804,408821,2943,2943,6077427,37080,132,132,13691,6627,1717,1717,286437,274004
"43","Vermont",1691,1691,214567,214567,272,272,5602,4576,1345,1345,163054,160072,274,274,467308,140871,676,676,17888,17599
"44","Virginia",17402,17402,1273665,1273373,1246,1246,282797,111820,5938,5938,2374640,1260369,1009,1009,292409636,289582025,2311,2311,82208,79743
"45","Washington",9219,9219,1123261,1052852,949,949,17707,7543,5721,5721,6024276,2332018,395,395,25904999,19935249,1722,1722,44421,44149
"46","West_Virginia",10028,10028,367634,367634,882,882,5204,5042,4580,4580,1394182,1394182,334,334,70182475,70178599,1041,1041,32754,32668
"47","Wisconsin",22777,22777,3330920,3330889,2025,2025,335975,299351,8696,8696,6490101,5710383,1179,1179,56724981,56710715,2506,2506,71801,71630
"48","Wyoming",4995,4995,1247971,1247971,232,232,106630,1409,1338,1338,28750,28750,70,70,6525,5456,637,637,306174,301837
